# Temperature(K)  Mean_Lattice(Å)  Std_Deviation(Å)
   100  2.466012  0.000295
   400  2.463266  0.001171
   700  2.461554  0.000783
  1000  2.460122  0.000895
  1300  2.458447  0.001076
  1600  2.457135  0.001507
  1900  2.455903  0.001286
  2300  2.454497  0.002012
  2700  2.453225  0.001780
  3100  2.452487  0.002639
  3500  2.451473  0.002891
